y1,y2,y3,location_1,location_2,location_3,scale_1,rho_12,scale_2,rho_13,rho_23,scale_3,df,x,x2
0.35877785,1.0464227,0.7988554,7.799567e-10,0.9999997,1.0,1.0955006,0.62477624,0.6644547,0.34835473,0.00016959578,1.9804591,11.993927,6.783831227508141e-05,-2.9989877381416554
-0.7950273,0.9219309,1.7065146,1.3716364e-09,0.9999996,1.0,1.0955637,0.624793,0.6644929,0.34840485,0.00020471904,1.9806104,11.987046,8.188761366767494e-05,-2.997840341669797
-0.26453608,0.68348294,2.5582275,4.3257713e-09,0.9999991,1.0,1.0956938,0.6248387,0.66457176,0.34850952,0.0003002537,1.980947,11.972853,0.0001201014889748997,-2.9954720255307694
-1.8703235,0.8098467,-4.307557,4.843016e-09,0.99999905,1.0,1.0956982,0.62484425,0.66457444,0.3485131,0.00031177828,1.980967,11.972374,0.0001247113138858058,-2.9953921534718484
0.16261233,1.8751736,0.9640462,6.272085e-09,0.99999887,1.0,1.0957555,0.62485766,0.6646091,0.34855962,0.00033985535,1.9811003,11.966151,0.0001359421472076905,-2.9943532229690097
0.32347253,1.0788033,-0.7341757,4.9692343e-08,0.99999547,1.0,1.0957636,0.62501925,0.66461337,0.34856543,0.00067782187,1.9814719,11.965381,0.0002711288318223426,-2.994224472705259
-0.13917226,1.3051491,2.639779,6.562365e-08,0.9999945,1.0,1.0957966,0.6250508,0.6646332,0.34859216,0.00074372214,1.981601,11.961824,0.0002974889604510089,-2.9936305854856773
1.0139698,1.8549851,0.886535,2.9112337e-07,0.9999852,1.0,1.0959915,0.6252796,0.6647496,0.34875113,0.0012228134,1.982456,11.941001,0.0004891258465887782,-2.990150586560855
0.47351727,0.46982723,3.5449958,4.2944322e-07,0.99998087,1.0,1.0960733,0.6253605,0.6647984,0.3488187,0.0013923054,1.9827806,11.932302,0.0005569228429944673,-2.988695737716058
-1.0052567,0.1384542,1.3367734,5.2279665e-07,0.9999782,1.0,1.0960857,0.62540567,0.6648054,0.34882852,0.0014868422,1.9829017,11.931042,0.0005947377282400357,-2.9884848901337717
-0.9321893,-1.3371441,-0.65568376,1.8898608e-06,0.9999485,1.0,1.0962517,0.6257858,0.6649003,0.34896183,0.002284328,1.9840271,11.914157,0.0009137343794487496,-2.9856585969024745
0.15738602,0.16934443,3.5469158,2.158234e-06,0.99994373,1.0,1.0962579,0.62583524,0.6649031,0.3489658,0.0023880387,1.9841449,11.913659,0.0009552191017097034,-2.9855752286188553
-0.33045164,0.49855232,0.5008509,3.890316e-06,0.9999165,1.0,1.0964006,0.6260829,0.6649844,0.3490818,0.0029082892,1.9849358,11.899232,0.0011633221960755113,-2.9831579690004038
-0.9536085,1.0031482,2.221758,4.7977455e-06,0.9999039,1.0,1.0964147,0.6261834,0.6649905,0.34909046,0.0031196836,1.985176,11.898163,0.001247881507944859,-2.9829787971182116
0.55164194,1.1363825,1.5662966,5.890064e-06,0.9998898,1.0,1.0964512,0.62628883,0.6650099,0.34911844,0.0033414348,1.9854668,11.894726,0.0013365838357590754,-2.9824026231964487
-0.097109914,1.0937315,-0.18490362,5.9103622e-06,0.99988955,1.0,1.0965554,0.6262907,0.66507304,0.34920996,0.0033452858,1.9856595,11.88356,0.0013381243120085262,-2.980530226941567
1.0031526,2.2584083,-2.035487,6.225991e-06,0.9998856,1.0,1.0965648,0.6263186,0.665078,0.34921715,0.0034040716,1.9857359,11.8826885,0.0013616391052536647,-2.9803838964350184
1.582745,0.7952654,5.8292894,6.719895e-06,0.99987966,1.0,1.0965887,0.6263605,0.6650914,0.3492367,0.0034922147,1.9858683,11.880324,0.00139689720155034,-2.9799872925003887
0.9513687,1.4205979,4.8310375,7.714613e-06,0.999868,1.0,1.0965976,0.626439,0.6650944,0.3492411,0.0036574663,1.9860507,11.87979,0.0014629995154745723,-2.9798977724705114
-0.62291086,0.6601509,1.6825149,1.2567352e-05,0.9998169,1.0,1.0966374,0.62674737,0.6651087,0.34926203,0.004307238,1.986774,11.877269,0.001722916601857638,-2.979474544310218
-0.6893557,0.3435834,1.2910175,1.8041972e-05,0.99976665,1.0,1.0966741,0.6270106,0.6651212,0.3492804,0.0048625753,1.9873915,11.875063,0.0019450607660612684,-2.979104328508824
0.27980632,1.4027096,2.8332918,2.24114e-05,0.99973005,1.0,1.0966948,0.6271844,0.6651266,0.34928837,0.005229658,1.9877902,11.874103,0.0020919011832274403,-2.97894316139514
-0.28285077,0.3330813,1.330472,2.7313088e-05,0.9996917,1.0,1.096749,0.6273543,0.6651521,0.34932578,0.0055887476,1.98824,11.869626,0.0022355454446866263,-2.9781917512964595
1.4735532,0.5649603,4.5845766,3.311216e-05,0.99964917,1.0,1.096805,0.6275308,0.66517776,0.34936377,0.0059621404,1.9887048,11.8651,0.0023849126142474475,-2.977431701123553
0.59705794,1.5178983,-0.29820013,3.3331624e-05,0.9996476,1.0,1.0968685,0.6275371,0.665216,0.3494206,0.0059753885,1.9888328,11.858372,0.0023902123445145307,-2.9763016961292776
-0.08927474,0.8815125,1.2533154,3.497946e-05,0.999636,1.0,1.0969155,0.62758327,0.6652422,0.34945977,0.0060730674,1.9890126,11.853769,0.0024292864520893964,-2.9755283820799105
0.666235,0.21967459,3.1369185,3.499774e-05,0.9996359,1.0,1.0969156,0.62758374,0.6652423,0.3494599,0.006074133,1.989014,11.853752,0.002429713048105797,-2.9755254920854535
-1.1008598,1.530305,1.9952724,3.601524e-05,0.9996288,1.0,1.0969987,0.6276115,0.6652913,0.34953347,0.0061329156,1.9892215,11.845158,0.0024532278431566024,-2.9740809642854513
-0.38325253,1.0779159,0.1792261,3.983485e-05,0.99960274,1.0,1.0970173,0.6277113,0.6652975,0.34954286,0.006344264,1.9894592,11.844069,0.002537773543222377,-2.973897825456615
-2.119503,-0.7251181,-1.5019779,4.5308312e-05,0.99956685,1.0,1.0970478,0.6278438,0.6653091,0.3495603,0.006624931,1.9897845,11.842044,0.002650049966616219,-2.9735573953318406
0.7299695,1.0021338,0.9704425,4.7268222e-05,0.99955434,1.0,1.0971007,0.6278886,0.6653387,0.34960517,0.0067199594,1.9899714,11.83686,0.002688064574320692,-2.9726855268095336
-0.8272216,1.0265071,-2.479797,4.9535123e-05,0.99954003,1.0,1.0972253,0.6279389,0.6654115,0.3497163,0.0068266797,1.9902995,11.824136,0.0027307566387910764,-2.9705446510898694
-2.4953423,-0.6522719,-3.6761112,5.0629274e-05,0.99953324,1.0,1.0972885,0.6279627,0.66544855,0.3497734,0.006877037,1.9904625,11.817666,0.002750901583707055,-2.969455444335
1.1250997,1.4105775,0.82219243,7.742537e-05,0.9993787,1.0,1.0973444,0.62846065,0.66545236,0.34977928,0.007934229,1.9915642,11.817005,0.003173825104306527,-2.969344174314112
0.8423386,1.3346126,5.0811706,8.155539e-05,0.99935657,1.0,1.0973879,0.62852657,0.66547453,0.34981355,0.008074371,1.9917747,11.813141,0.003229888493556543,-2.968693448010593
1.1070387,1.2305099,1.5358481,8.182454e-05,0.99935514,1.0,1.0974008,0.6285308,0.665482,0.3498251,0.00808334,1.9918064,11.811844,0.00323347647897243,-2.968474931059924
-2.0066352,0.23732132,-1.8437343,8.593208e-05,0.9993335,1.0,1.09746,0.62859404,0.66551363,0.34987438,0.008217863,1.9920394,11.80633,0.0032872932460753512,-2.9675460136979064
0.66509104,0.8323933,1.1409782,8.652994e-05,0.99933034,1.0,1.0974739,0.6286031,0.66552156,0.34988663,0.008237088,1.9920827,11.804958,0.0032949840090513716,-2.9673150553490117
1.08049,1.2715118,2.671951,9.3680064e-05,0.99929357,1.0,1.0975702,0.62870806,0.6655728,0.34996694,0.0084605,1.9924656,11.796052,0.003384361400927016,-2.965813855099321
-0.012810137,0.8756492,-0.023541331,9.424659e-05,0.9992907,1.0,1.0976026,0.62871623,0.66559196,0.34999707,0.008477714,1.9925405,11.792729,0.0033912481117531756,-2.965253608515111
2.0680878,1.0931345,3.0377078,9.956485e-05,0.99926394,1.0,1.0976478,0.6287906,0.6656141,0.35003206,0.0086360825,1.9927694,11.788885,0.00345460492537486,-2.9646054151781476
