y,loc,scale,df,x,x2
0.6689193,2,1.6297284,9.443788,0.9197789,2.538461662
5.055247,2,2.1716456,4.962395,0.73018204,1.400855081
3.764089,1,1.9677321,8.930872,0.093145037,-2.435338097
-0.36724353,1,2.9320712,3.2976472,0.59291624,0.545570633
2.5340798,1,0.8318383,4.708212,0.274818969,-1.306985721
1.9472315,2,2.2221873,6.5928926,0.809041073,1.895492776
1.4536687,2,1.0908868,11.298649,0.977461165,2.880737564
2.351219,1,2.0800202,10.147049,0.051611888,-2.673396573
3.7643604,3,1.170919,3.4967458,0.376420705,-0.704801961
-0.121420145,1,0.825846,4.6262217,0.280476981,-1.275233905
4.372894,3,0.9974476,3.7146375,0.352650866,-0.845362337
-0.42620754,2,2.212338,6.9697437,0.825727183,1.992421532
3.240785,2,1.3977798,10.175673,0.943308646,2.678744537
-1.444092,1,2.9968958,3.008414,0.514463249,0.09172749
6.7731767,3,1.9953285,3.1240404,0.442533847,-0.352193586
1.7547792,2,1.2925595,10.502691,0.954378307,2.739104047
3.4893322,3,2.355837,3.0453925,0.464772592,-0.213055079
-1.2109101,1,2.906095,3.3234515,0.595656312,0.568727895
3.214046,3,2.5666907,3.01828,0.478415848,-0.135203582
2.1692872,2,1.3533318,10.293909,0.947962149,2.700723879
0.88230526,2,2.1979487,5.9264603,0.777957826,1.710690002
-1.570787,1,2.0579245,9.543508,0.069789982,-2.558027977
1.2937831,2,1.9671437,8.467881,0.88115242,2.338350065
3.7078469,1,1.3971933,6.8466463,0.167412398,-1.961286893
3.8669338,3,2.7964647,3.0009642,0.495038303,-0.031051922
1.5305904,1,1.7463934,7.8873577,0.126592262,-2.210736951
4.692979,3,2.468414,3.0284324,0.471877215,-0.168618884
3.348761,2,2.2265131,4.43312,0.701784716,1.197129852
1.1323678,3,2.7180219,3.005502,0.48904929,-0.074175865
0.56328344,1,1.2886201,6.5350266,0.180502723,-1.880166649
2.8603866,3,2.8010159,3.000504,0.495380588,-0.022452694
4.1912184,3,0.82876587,4.307513,0.302302303,-1.143465519
3.0914752,1,2.3599818,4.003045,0.668018464,1.001521387
0.64101636,1,2.0636494,9.68653,0.0665535,-2.585832505
1.1039643,1,0.84224325,4.8717647,0.266720895,-1.368124443
4.5085173,2,2.1925163,7.2313848,0.835812716,2.057032986
4.04121,3,0.83559316,4.2432766,0.309581443,-1.11502309
3.058115,3,0.8669006,4.059045,0.322973943,-1.02909894
2.3558764,2,1.9484329,8.542779,0.883616496,2.354310791
-4.870127,1,3.0769527,3.0265121,0.52660937,0.162825607
0.8761343,1,0.8384222,4.8443356,0.268691428,-1.358063133
2.092213,2,2.1770606,5.493086,0.757399703,1.57895084
3.3136518,1,2.8015397,3.4085,0.610039541,0.639140044
-0.1272949,1,3.04466,3.201099,0.574144292,0.448440443
1.4885063,2,1.3209928,10.39985,0.95136211,2.720266588
2.8595397,3,1.5226291,3.2762563,0.409446124,-0.525600917
0.53742796,1,3.0627491,3.183007,0.570383054,0.427793104
2.3409681,2,1.2101548,10.781531,0.96343852,2.789539651
1.3877676,2,1.791595,9.00372,0.902556539,2.450248966
2.5612833,3,1.0131768,3.6856737,0.355135105,-0.82805422
3.665646,3,0.8886017,3.9669857,0.32925568,-0.983354365
1.7888589,1,2.7662911,3.4468677,0.613481487,0.668481595
0.9690819,2,2.2222414,6.3264174,0.798963643,1.823846894
1.0313656,1,2.9316883,3.298161,0.592926443,0.546041167
-0.17620409,1,2.0780668,10.060976,0.05498161,-2.657249647
3.930079,2,2.2054825,4.569369,0.710294818,1.252744534
-0.83223987,2,1.7418134,9.139149,0.908011084,2.477730553
5.6692743,1,2.0625703,9.629458,0.067484319,-2.574773451
2.1908226,3,1.1207167,3.5413184,0.370201082,-0.735743516
1.0942178,2,2.18381,4.7692685,0.720683711,1.330138473
1.8994589,2,0.95589775,11.900973,0.995830616,2.983449869
0.6544299,2,2.1659906,5.142465,0.738536425,1.463716205
-3.7259107,1,3.0661485,3.0207415,0.524302305,0.144019224
1.8641479,1,1.9224046,8.722005,0.10116069,-2.392071261
-1.8663993,2,2.1971824,7.177785,0.834011272,2.043962988
3.1301641,2,2.1690345,5.359107,0.749620112,1.535938415
1.7431676,2,1.496253,9.853411,0.933297904,2.61790195
1.0171359,1,1.0496095,5.861424,0.213915829,-1.691574352
1.1388798,1,2.8124888,3.3996203,0.608549409,0.632155209
2.493078,3,1.3917134,3.3363779,0.398381572,-0.579980846
2.4691696,1,1.043711,5.84647,0.21487322,-1.687148381
3.3301694,3,2.351269,3.045606,0.46445956,-0.213555329
1.9384409,1,2.0448482,11.170709,0.022272399,-2.858445104
2.4731274,2,1.1492949,11.014572,0.970443622,2.831001886
2.933666,2,1.4624687,9.985291,0.936668644,2.642969964
2.5273647,2,2.1764784,4.8737245,0.725971714,1.368840511
0.32647544,1,1.9042473,8.609861,0.104247546,-2.368514671
2.7132032,2,1.3617817,10.274062,0.94706749,2.697046949
2.3051639,3,1.2899121,3.3983567,0.388910583,-0.631154946
2.8010976,1,2.0741422,9.922728,0.059450687,-2.631107678
-1.6459203,1,2.071555,9.85981,0.061507719,-2.619123957
2.9499128,3,1.9551324,3.133595,0.439937596,-0.365506348
