behavior_score,amortization_term,recovery_amount,ead,lgd,recovery_origin_code,collateral_type_code,survival_time_1,survival_time_2
24.98,222,26712.13,4360.65,0.9401622161,3,2,7,36
91.0,300,44614.01,44747.42,0.0029814009,4,2,22,4
2.0,360,0.0,137134.22,1.0,5,2,17,1
24.98,240,70919.2,60342.22,0.0,1,2,80,12
22.0,240,0.0,64248.48,1.0,4,2,28,1
6.0,240,76787.0,67711.43,0.0,5,2,12,20
1.0,240,0.0,46642.11,1.0,4,2,20,14
28.0,240,59838.74,55610.31,0.8718198091,4,2,32,53
1.0,300,0.0,11963.39,0.7591908972,5,2,17,19
4.0,234,14892.43,15052.98,0.0106656622,3,2,60,20
2.0,240,10516.45,8980.38,0.0,3,4,35,18
26.0,300,49792.95,49399.98,0.0,4,2,12,2
8.0,240,75549.14,75294.29,0.0,4,2,34,1
0.0,300,0.0,40665.63,1.0,4,2,20,10
1.0,360,0.0,86622.7,1.0,5,2,14,9
18.0,262,153365.16,148294.43,0.0,5,2,16,3
28.0,300,56713.91,55740.42,0.0,4,2,9,3
4.0,300,0.0,63401.43,1.0,4,2,19,9
24.98,300,0.0,53851.45,1.0,4,2,9,7
24.98,240,34728.97,37541.0,0.0,1,2,77,10
9.0,360,50595.07,206820.93,0.7553677474,5,2,9,13
24.98,120,61833.33,61642.31,0.0,5,2,22,0
5.0,240,0.0,75197.54,1.0,5,2,48,2
24.0,312,0.0,131509.86,1.0,5,2,16,2
24.98,240,71671.33,70532.0,0.0,4,2,36,2
1.0,300,93286.22,90237.25,0.0,4,2,12,14
8.0,120,63410.15,78067.17,0.1877488322,5,2,32,6
24.98,240,18211.82,18657.35,0.9290955039,3,2,20,35
24.98,240,54339.2,58060.8,0.0,5,2,40,22
24.98,240,26316.67,26439.98,0.9850714713,3,4,22,33
33.0,180,39704.23,39184.57,0.0,5,2,11,10
66.0,300,0.0,39458.26,1.0,4,2,17,1
83.0,240,29617.27,29706.92,0.0,4,2,21,1
9.0,360,0.0,142892.64,1.0,5,2,22,1
1.0,240,0.0,57904.02,0.7688984911,4,2,18,19
